id_paciente,edad,genero,sucursal,tiempo_espera,trato_doctor,limpieza,precio,csat,nps
74,21,Masculino,Oeste,20,4,4,3,4,9
75,28,Femenino,Oeste,25,4,5,4,5,9
76,29,Femenino,Oeste,15,5,4,5,4,7
77,61,Femenino,Este,14,3,2,2,3,5
78,54,Femenino,Oeste,26,4,5,4,4,9
79,20,Femenino,Este,14,4,3,5,5,10
80,34,Femenino,Sur,19,2,5,3,4,7
81,34,Masculino,Centro,5,3,4,3,4,9
82,59,Masculino,Este,32,3,4,3,4,8
83,66,Femenino,Norte,33,3,3,4,3,6
84,57,Femenino,Norte,16,5,4,4,5,9
85,50,Masculino,Centro,49,5,4,4,4,8
86,22,Femenino,Sur,41,3,5,4,3,6
87,28,Masculino,Oeste,10,2,4,4,4,9
88,37,Femenino,Oeste,25,5,3,1,4,8
89,60,Femenino,Centro,29,4,2,3,3,6
90,25,Femenino,Oeste,33,4,3,2,3,5
91,35,Masculino,Oeste,24,5,3,4,4,7
92,63,Masculino,Centro,15,4,3,2,3,7
93,58,Masculino,Oeste,48,4,3,3,3,6
94,34,Femenino,Norte,22,5,5,2,4,9
95,45,Masculino,Norte,21,2,3,4,4,7
96,39,Femenino,Sur,22,5,4,5,5,9
97,65,Masculino,Oeste,23,3,3,3,3,7
98,45,Femenino,Norte,7,3,3,5,4,7
99,62,Femenino,Oeste,24,5,4,2,5,9
100,41,Femenino,Este,31,3,4,2,3,5
101,20,Masculino,Sur,36,5,3,4,4,7
102,40,Femenino,Centro,19,3,3,3,3,7
103,24,Masculino,Oeste,28,4,4,2,3,6
104,57,Femenino,Centro,34,5,3,3,4,7
105,69,Femenino,Este,5,5,3,4,4,7
106,29,Masculino,Este,5,2,4,3,3,7
107,65,Femenino,Sur,32,2,4,2,2,3
108,68,Femenino,Este,25,3,4,4,3,5
109,48,Femenino,Centro,35,3,4,4,2,5
110,40,Masculino,Centro,15,5,4,3,4,7
111,19,Femenino,Este,26,4,5,3,4,8
112,35,Femenino,Sur,20,4,4,3,4,8
113,59,Masculino,Oeste,28,5,5,3,5,10
114,19,Femenino,Sur,20,2,3,1,2,3
115,55,Masculino,Norte,25,5,4,3,5,9
116,56,Masculino,Sur,5,4,5,2,5,10
117,45,Femenino,Este,29,4,5,5,5,9
118,34,Femenino,Este,27,4,3,4,3,5
119,51,Femenino,Sur,25,4,4,3,4,8
120,22,Masculino,Oeste,18,4,3,3,4,8
121,60,Femenino,Sur,34,3,5,4,4,9
122,37,Masculino,Sur,47,3,3,1,3,6
123,62,Masculino,Oeste,32,4,4,2,5,9
124,30,Masculino,Este,26,4,5,3,4,9
125,65,Femenino,Oeste,15,4,5,4,5,10
126,43,Femenino,Sur,18,3,4,3,4,8
127,31,Masculino,Oeste,5,5,4,3,4,9
128,59,Masculino,Este,5,5,4,2,4,8
129,46,Femenino,Oeste,20,5,4,1,4,8
130,68,Femenino,Norte,21,1,4,3,3,6
131,50,Masculino,Norte,47,5,4,2,5,9
132,61,Masculino,Centro,25,4,4,3,4,7
133,27,Femenino,Norte,18,3,4,2,3,5
134,48,Femenino,Este,26,4,5,1,4,8
135,58,Femenino,Este,39,2,4,3,2,5
136,43,Femenino,Centro,15,3,5,4,5,9
137,66,Femenino,Este,33,3,4,3,3,5
138,29,Masculino,Norte,33,4,4,4,4,9
139,33,Femenino,Este,20,5,3,4,5,9
140,69,Masculino,Oeste,21,4,3,4,4,9
141,56,Masculino,Este,18,5,3,2,3,7
142,70,Masculino,Oeste,32,3,5,1,4,8
143,28,Masculino,Este,27,4,4,3,4,8
144,66,Femenino,Sur,38,4,4,3,4,9
145,49,Femenino,Sur,28,2,3,4,3,6
146,22,Masculino,Centro,22,4,4,2,3,6
147,39,Masculino,Oeste,27,3,4,1,4,7
148,26,Femenino,Centro,30,4,5,5,5,10
149,62,Femenino,Centro,5,3,4,3,4,7
150,44,Masculino,Sur,16,4,3,2,3,7
151,47,Masculino,Norte,13,3,3,4,3,5
152,44,Masculino,Oeste,56,4,4,2,4,9
153,19,Masculino,Este,18,4,5,3,5,9
154,40,Masculino,Este,16,4,5,2,5,10
155,52,Femenino,Este,33,3,5,4,4,7
156,35,Masculino,Este,6,3,4,3,4,7
157,42,Masculino,Este,27,3,4,4,4,9
158,28,Masculino,Centro,37,5,4,3,3,7
159,52,Femenino,Este,30,4,4,2,3,7
160,54,Femenino,Norte,37,4,5,3,4,9
161,45,Femenino,Este,36,3,4,3,3,5
162,21,Masculino,Este,21,4,4,4,4,8
163,31,Masculino,Sur,22,4,5,3,5,10
164,66,Masculino,Sur,7,4,5,3,5,10
165,34,Femenino,Este,18,5,5,3,5,9
166,65,Femenino,Sur,42,5,4,3,4,7
167,59,Femenino,Norte,8,3,3,2,3,5
168,33,Femenino,Norte,27,5,3,4,4,9
169,27,Femenino,Centro,24,5,3,3,4,8
170,60,Femenino,Oeste,30,4,5,2,4,7
171,47,Masculino,Sur,17,3,3,4,4,7
172,56,Femenino,Centro,18,3,4,2,4,8
173,24,Femenino,Sur,27,2,5,5,3,7
174,61,Masculino,Este,20,4,4,4,5,9
175,22,Femenino,Norte,22,3,3,2,3,7
176,67,Masculino,Oeste,46,3,4,3,4,7
177,68,Femenino,Sur,55,3,4,4,3,7
178,45,Masculino,Norte,47,5,4,4,5,10
179,18,Masculino,Este,34,5,5,4,5,9
180,45,Masculino,Este,32,4,4,4,4,9
181,27,Masculino,Centro,29,4,4,4,4,9
182,51,Masculino,Oeste,25,3,5,4,5,10
183,47,Masculino,Oeste,21,4,4,5,4,8
184,38,Femenino,Norte,28,5,4,3,4,8
185,46,Femenino,Este,37,3,4,2,4,9
186,57,Masculino,Sur,6,3,4,5,4,7
187,49,Masculino,Centro,18,5,3,1,4,8
188,31,Masculino,Sur,18,3,5,3,4,8
189,35,Masculino,Oeste,9,5,5,3,5,9
190,51,Femenino,Norte,12,2,3,3,3,5
191,64,Masculino,Este,22,4,3,4,4,9
192,66,Femenino,Este,38,4,4,4,4,9
193,63,Masculino,Este,32,5,4,4,4,7
194,23,Masculino,Centro,42,3,5,3,3,6
195,62,Femenino,Sur,26,3,5,2,3,7
196,55,Masculino,Este,5,4,2,1,4,9
197,51,Masculino,Este,34,4,3,3,3,7
198,53,Masculino,Sur,11,5,5,3,5,10
199,35,Masculino,Sur,27,2,4,2,2,3
200,25,Femenino,Sur,21,5,5,2,5,9
201,65,Femenino,Centro,41,5,4,2,4,7
202,65,Masculino,Sur,29,5,5,4,5,10
203,24,Femenino,Sur,40,4,5,2,5,9
204,41,Femenino,Sur,27,3,4,3,4,7
205,63,Femenino,Sur,31,3,4,5,5,9
206,21,Masculino,Centro,30,4,4,4,3,7
207,66,Masculino,Norte,21,2,4,4,3,5
208,54,Masculino,Este,43,3,3,3,3,6
209,46,Masculino,Centro,45,4,5,3,4,7
210,34,Masculino,Norte,35,5,3,4,5,9
211,43,Masculino,Norte,17,4,4,3,4,9
212,58,Femenino,Centro,16,4,5,4,4,7
213,69,Masculino,Norte,34,1,5,1,2,3
214,25,Masculino,Oeste,11,3,5,3,4,9
215,68,Femenino,Oeste,24,4,4,2,4,8
216,46,Masculino,Sur,19,2,4,5,4,9
217,45,Masculino,Oeste,20,4,4,5,5,9
218,57,Femenino,Centro,30,5,4,3,4,9
219,31,Masculino,Norte,24,4,5,3,5,9
220,33,Femenino,Oeste,24,4,2,4,4,7
221,28,Femenino,Este,36,1,5,3,3,6
222,62,Masculino,Sur,12,5,3,2,5,9
223,32,Masculino,Sur,22,4,5,3,4,9
224,47,Femenino,Centro,29,5,4,3,5,10
225,68,Femenino,Este,38,5,5,2,5,9
226,52,Femenino,Centro,11,4,3,3,4,8
227,70,Femenino,Norte,28,4,5,3,4,7
228,28,Masculino,Oeste,36,5,3,4,4,9
229,70,Masculino,Este,21,5,4,3,4,7
230,47,Masculino,Este,25,3,3,5,3,6
231,50,Masculino,Este,13,2,3,2,4,7
232,56,Femenino,Este,37,3,5,4,4,9
233,38,Masculino,Norte,5,5,3,1,5,9
234,32,Femenino,Sur,54,5,4,4,4,9
235,20,Femenino,Este,34,4,4,3,3,7
236,59,Masculino,Sur,21,2,4,2,2,3
237,55,Masculino,Este,27,5,5,1,4,7
238,48,Masculino,Este,36,3,4,4,3,6
239,38,Femenino,Centro,26,3,4,3,3,6
240,44,Masculino,Sur,30,4,4,3,5,10
241,70,Femenino,Este,26,4,4,4,4,7
242,38,Masculino,Sur,25,3,3,2,4,7
243,67,Masculino,Oeste,10,3,3,4,4,7
244,60,Masculino,Este,39,3,4,2,4,7
245,30,Masculino,Oeste,10,4,5,3,4,8
246,58,Masculino,Norte,23,4,4,4,5,9
247,35,Femenino,Sur,18,3,4,5,4,8
248,62,Masculino,Norte,44,5,4,4,5,9
249,58,Femenino,Centro,20,4,4,2,4,8
250,53,Femenino,Oeste,10,4,3,3,3,6
251,23,Femenino,Norte,28,5,2,3,4,8
252,25,Femenino,Este,10,5,4,2,5,10
253,50,Masculino,Este,31,4,4,2,4,8
254,48,Femenino,Este,8,4,3,2,4,9
255,27,Masculino,Centro,38,5,3,3,4,9
256,50,Femenino,Norte,26,5,4,3,4,8
257,67,Masculino,Sur,26,4,5,4,4,9
258,35,Femenino,Sur,9,2,4,2,2,4
259,55,Masculino,Centro,29,5,4,4,5,10
260,52,Masculino,Sur,23,5,4,3,5,10
261,53,Masculino,Este,16,5,4,2,5,10
262,30,Femenino,Oeste,14,4,4,4,5,10
263,32,Masculino,Norte,24,5,5,4,5,10
264,65,Masculino,Este,9,3,4,2,4,8
265,60,Femenino,Este,25,5,4,3,4,7
266,26,Masculino,Norte,5,3,4,2,4,8
267,24,Masculino,Norte,43,5,4,4,4,9
268,27,Masculino,Centro,20,3,4,3,4,7
269,48,Masculino,Sur,26,4,4,4,5,10
270,59,Femenino,Sur,7,1,5,2,3,7
271,52,Masculino,Sur,10,2,4,4,3,7
272,63,Masculino,Oeste,5,3,4,2,4,7
273,57,Femenino,Centro,24,5,4,2,5,10
274,32,Femenino,Este,23,4,3,3,3,5
275,66,Femenino,Este,22,5,3,1,5,9
276,62,Masculino,Norte,22,3,5,2,5,9
277,38,Femenino,Sur,33,4,5,2,4,8
278,41,Masculino,Centro,28,5,5,3,4,7
279,51,Masculino,Oeste,30,3,5,3,4,9
280,68,Femenino,Centro,27,3,3,4,3,5
281,23,Masculino,Oeste,12,5,5,4,5,9
282,49,Femenino,Centro,15,3,5,3,4,8
283,58,Masculino,Este,40,5,4,5,4,8
284,60,Femenino,Este,36,4,4,5,4,8
285,61,Femenino,Norte,31,5,4,2,4,8
286,40,Masculino,Este,5,5,3,3,4,9
287,34,Masculino,Sur,28,5,5,2,4,7
288,42,Masculino,Norte,28,4,5,3,5,9
289,42,Masculino,Oeste,32,5,4,2,4,8
290,62,Masculino,Norte,17,3,4,4,4,9
291,43,Masculino,Norte,28,5,4,5,5,9
292,56,Masculino,Sur,5,5,4,4,5,9
293,56,Masculino,Centro,23,3,4,2,3,7
294,30,Masculino,Centro,32,5,4,2,4,9
295,24,Femenino,Sur,39,3,4,3,3,6
296,20,Masculino,Centro,32,4,4,2,3,5
297,36,Masculino,Este,33,4,5,3,4,7
298,30,Femenino,Oeste,36,3,3,1,3,6
299,51,Masculino,Centro,18,5,4,3,5,10
300,70,Masculino,Sur,49,5,5,4,5,10
301,69,Femenino,Este,34,3,3,3,3,5
302,27,Femenino,Este,19,5,5,3,5,10
303,23,Masculino,Norte,11,4,3,1,4,8
304,52,Femenino,Este,23,5,5,2,5,10
305,61,Masculino,Oeste,39,5,4,2,4,8
306,70,Masculino,Norte,38,5,5,3,4,9
307,32,Masculino,Norte,26,2,4,3,3,7
308,53,Masculino,Oeste,5,5,4,2,3,5
309,59,Femenino,Este,24,5,5,3,4,9
310,37,Masculino,Norte,30,3,4,4,4,7
311,20,Femenino,Sur,23,4,3,2,3,6
312,25,Femenino,Centro,29,5,3,4,4,9
313,26,Masculino,Este,24,3,2,4,3,6
314,60,Masculino,Oeste,21,4,4,1,3,7
315,64,Femenino,Este,34,3,4,2,3,7
316,24,Masculino,Oeste,24,2,5,2,3,6
317,35,Femenino,Sur,27,5,3,3,4,7
318,46,Masculino,Centro,33,4,4,2,4,8
319,24,Masculino,Oeste,12,1,4,4,2,4
320,21,Masculino,Sur,12,5,5,3,5,9
321,25,Masculino,Norte,22,5,3,2,4,9
322,31,Femenino,Norte,13,4,5,3,4,8
323,33,Femenino,Oeste,21,2,5,3,3,5
324,22,Femenino,Oeste,63,4,3,3,3,5
325,70,Femenino,Sur,26,3,5,2,5,9
326,68,Femenino,Sur,37,4,5,3,4,7
327,26,Masculino,Centro,30,3,3,4,3,5
328,60,Femenino,Centro,20,3,4,5,3,5
329,40,Femenino,Oeste,25,5,4,3,4,8
330,19,Femenino,Sur,30,4,5,4,5,9
331,26,Masculino,Oeste,31,4,4,3,4,7
332,65,Femenino,Este,21,4,5,2,5,10
333,67,Masculino,Oeste,40,4,2,2,4,9
334,24,Masculino,Oeste,24,3,4,4,4,7
335,57,Femenino,Oeste,22,4,4,2,5,10
336,47,Femenino,Norte,21,5,5,4,5,10
337,43,Masculino,Norte,29,4,3,3,3,6
338,63,Masculino,Norte,39,4,4,3,4,7
339,38,Femenino,Norte,32,4,5,2,4,7
340,35,Masculino,Este,48,3,3,4,3,7
341,51,Masculino,Este,29,4,5,4,5,10
342,24,Femenino,Oeste,22,5,5,3,4,9
343,31,Masculino,Este,38,4,2,4,3,5
344,44,Masculino,Este,23,4,4,4,4,8
345,44,Femenino,Sur,31,4,5,4,4,8
346,38,Masculino,Sur,38,3,5,3,4,7
347,61,Masculino,Norte,22,4,4,3,4,7
348,23,Femenino,Este,5,3,3,4,5,9
349,65,Masculino,Centro,23,4,4,4,4,9
350,21,Masculino,Norte,27,5,4,3,5,10
351,40,Masculino,Norte,5,5,3,1,4,8
352,56,Masculino,Sur,41,4,5,5,5,9
353,54,Femenino,Centro,44,5,4,1,4,9
354,48,Femenino,Norte,14,5,4,3,5,10
355,53,Masculino,Norte,25,5,4,3,4,8
356,54,Femenino,Este,9,3,4,3,3,7
357,67,Femenino,Oeste,8,4,3,4,4,9
358,62,Masculino,Norte,7,4,3,3,5,9
359,35,Masculino,Sur,5,4,4,4,5,10
360,18,Femenino,Centro,15,4,3,4,4,9
361,60,Masculino,Norte,47,4,3,1,2,3
362,65,Femenino,Norte,5,4,4,1,4,9
363,51,Femenino,Este,19,4,5,4,4,8
364,47,Masculino,Centro,14,2,3,3,2,4
365,37,Masculino,Oeste,23,4,4,2,4,9
366,23,Femenino,Centro,30,3,5,3,4,7
367,66,Femenino,Norte,33,4,5,3,4,8
368,46,Masculino,Este,29,3,4,3,3,7
369,46,Masculino,Sur,23,2,4,3,3,5
370,66,Femenino,Sur,12,5,3,4,5,10
371,25,Masculino,Oeste,17,5,3,4,5,10
372,51,Masculino,Norte,16,5,4,3,5,9
373,43,Femenino,Norte,23,5,5,1,5,9
374,37,Femenino,Centro,5,5,5,2,5,10
375,36,Masculino,Norte,11,4,4,4,5,9
376,49,Masculino,Centro,41,3,4,1,2,3
377,42,Femenino,Oeste,36,5,3,2,4,9
378,60,Masculino,Norte,28,3,4,3,3,6
379,65,Femenino,Este,31,4,4,3,4,7
380,47,Femenino,Sur,20,4,5,4,4,9
381,45,Masculino,Este,33,4,5,3,4,8
382,25,Masculino,Norte,30,2,3,2,3,6
383,28,Masculino,Sur,45,5,5,4,4,7
384,45,Femenino,Centro,18,3,4,3,3,6
385,55,Masculino,Oeste,5,5,3,3,5,9
386,43,Masculino,Sur,13,1,4,4,4,7
387,39,Femenino,Norte,10,4,4,3,5,9
388,51,Femenino,Sur,6,4,4,4,5,10
389,64,Femenino,Centro,28,4,4,3,4,7
390,27,Masculino,Centro,20,4,4,4,4,7
391,56,Femenino,Norte,5,5,3,2,4,7
392,67,Masculino,Este,41,2,5,4,3,7
393,66,Masculino,Oeste,24,4,4,4,4,9
394,58,Masculino,Sur,26,4,4,3,4,7
395,46,Femenino,Este,32,1,5,3,3,6
396,58,Masculino,Sur,20,5,5,2,5,9
397,40,Femenino,Sur,13,3,3,4,4,8
398,46,Femenino,Norte,31,5,4,2,4,8
399,36,Femenino,Norte,34,5,5,4,5,10
400,47,Femenino,Este,37,4,3,3,3,7
401,59,Femenino,Sur,16,4,3,3,3,7
402,48,Femenino,Norte,27,4,3,4,4,8
403,24,Masculino,Norte,5,3,3,2,4,9
404,59,Femenino,Norte,22,4,2,4,3,5
405,63,Masculino,Este,25,4,5,2,3,7
406,51,Femenino,Sur,27,5,5,3,4,8
407,36,Masculino,Este,34,3,4,4,4,8
408,61,Femenino,Sur,58,4,4,3,2,2
409,39,Femenino,Oeste,16,4,4,3,4,9
410,42,Masculino,Sur,38,4,4,3,4,9
411,60,Femenino,Sur,34,3,3,3,2,2
412,55,Femenino,Sur,15,4,5,3,5,10
413,59,Masculino,Centro,35,4,4,3,4,9
414,63,Femenino,Sur,18,2,4,4,4,9
415,42,Masculino,Centro,36,5,4,3,4,9
416,62,Femenino,Este,21,5,5,3,5,10
417,19,Masculino,Sur,25,5,3,1,4,7
418,31,Masculino,Este,10,3,4,3,5,9
419,32,Femenino,Centro,28,4,4,2,4,7
420,36,Femenino,Oeste,24,5,3,1,4,9
421,65,Femenino,Sur,29,3,3,4,3,7
422,26,Masculino,Centro,44,3,5,3,4,7
423,29,Femenino,Este,18,4,4,2,4,7
424,44,Masculino,Centro,18,4,3,1,3,6
425,57,Masculino,Este,53,5,4,3,4,7
426,52,Femenino,Sur,31,3,5,4,4,8
427,30,Masculino,Oeste,30,4,5,4,4,8
428,47,Masculino,Este,18,4,5,2,4,9
429,51,Masculino,Centro,26,4,4,3,4,7
430,69,Femenino,Sur,42,2,3,3,2,2
431,59,Masculino,Sur,22,5,4,3,4,9
432,24,Femenino,Sur,17,4,4,4,5,9
433,66,Femenino,Sur,11,4,4,4,5,10
434,50,Femenino,Este,12,3,3,3,4,7
435,32,Masculino,Sur,36,4,4,3,3,5
436,44,Femenino,Este,50,2,4,5,3,7
437,41,Femenino,Este,22,4,4,4,3,5
438,41,Femenino,Norte,43,3,4,3,3,6
439,24,Masculino,Centro,5,4,5,2,5,9
440,20,Masculino,Este,17,4,4,2,4,9
441,26,Masculino,Este,46,4,5,2,3,7
442,18,Femenino,Norte,30,5,4,3,4,8
443,31,Femenino,Oeste,9,5,5,3,5,10
444,25,Masculino,Centro,28,4,4,5,4,8
445,25,Femenino,Centro,20,3,5,3,4,8
446,58,Masculino,Norte,40,5,4,1,4,7
447,49,Femenino,Oeste,16,5,2,4,4,9
448,33,Femenino,Sur,33,4,3,3,4,8
449,18,Masculino,Centro,26,5,5,1,5,10
450,29,Femenino,Oeste,26,3,3,3,4,8
451,22,Femenino,Este,23,5,3,3,4,8
452,20,Masculino,Sur,29,5,4,1,4,8
453,65,Femenino,Sur,30,4,5,2,4,7
454,40,Femenino,Norte,39,2,4,2,3,7
455,65,Masculino,Centro,29,4,3,3,3,5
456,40,Masculino,Centro,11,5,3,4,5,10
457,62,Masculino,Centro,5,3,5,2,4,7
458,22,Masculino,Norte,30,5,4,2,5,10
459,30,Femenino,Centro,45,5,4,2,3,5
460,38,Masculino,Oeste,31,4,5,4,4,8
461,70,Masculino,Sur,37,3,4,3,4,7
462,66,Femenino,Sur,62,5,4,4,4,8
463,67,Femenino,Sur,21,5,4,3,5,10
464,25,Masculino,Este,30,5,4,2,4,8
465,65,Masculino,Este,30,5,4,5,5,10
466,29,Masculino,Este,33,3,4,4,4,8
467,69,Masculino,Norte,21,4,3,3,4,9
468,45,Femenino,Este,31,5,4,3,4,9
469,70,Femenino,Oeste,33,4,4,2,3,6
470,38,Femenino,Norte,38,4,3,4,3,6
471,60,Masculino,Sur,37,5,5,2,5,10
472,56,Masculino,Centro,28,4,4,1,4,9
473,46,Masculino,Este,12,3,3,4,3,5
474,64,Masculino,Oeste,43,3,3,2,3,6
475,35,Femenino,Norte,23,3,4,4,4,9
476,58,Masculino,Sur,42,4,3,3,3,7
477,69,Femenino,Norte,13,3,4,3,4,7
478,56,Masculino,Norte,15,4,3,4,5,9
479,22,Femenino,Sur,5,3,3,2,3,6
480,42,Femenino,Oeste,7,3,3,3,4,7
481,61,Masculino,Sur,16,4,4,3,5,10
482,46,Femenino,Oeste,41,3,5,4,3,5
483,51,Masculino,Este,34,5,3,2,4,8
484,59,Masculino,Centro,28,5,4,3,4,7
485,19,Femenino,Este,37,5,4,3,3,7
486,42,Femenino,Sur,31,5,4,4,4,8
487,63,Masculino,Centro,31,3,4,3,3,7
488,36,Masculino,Centro,20,4,5,3,4,7
489,26,Femenino,Este,45,5,3,4,4,7
490,63,Masculino,Norte,28,4,4,2,3,7
491,38,Masculino,Norte,14,3,4,2,4,9
492,52,Masculino,Sur,42,3,4,3,3,5
493,63,Femenino,Sur,25,5,4,2,5,9
494,25,Femenino,Centro,35,3,4,4,3,5
495,68,Masculino,Norte,37,5,3,2,4,8
496,53,Masculino,Este,33,4,5,2,4,9
497,26,Femenino,Norte,17,5,5,2,4,8
498,43,Masculino,Oeste,35,4,4,3,3,6
499,67,Masculino,Oeste,24,3,4,4,3,5
500,26,Masculino,Norte,34,4,4,4,4,8
501,47,Masculino,Centro,31,5,4,2,4,9
502,58,Femenino,Centro,15,5,5,2,4,8
503,50,Femenino,Norte,30,5,4,3,4,9
504,27,Masculino,Centro,28,4,2,3,3,5
505,38,Femenino,Sur,27,5,4,3,5,10
506,23,Masculino,Centro,30,4,4,5,4,9
507,53,Masculino,Centro,30,3,4,2,3,7
508,37,Femenino,Oeste,21,5,5,2,5,9
509,55,Femenino,Centro,16,3,4,3,5,10
510,54,Femenino,Norte,30,3,4,4,5,9
511,20,Masculino,Centro,5,2,5,3,3,7
512,44,Femenino,Este,31,1,4,3,3,7
513,52,Masculino,Sur,12,4,3,3,3,6
514,33,Masculino,Sur,20,3,5,4,4,8
515,22,Femenino,Centro,25,3,4,3,5,10
516,44,Masculino,Este,11,5,5,3,5,9
517,39,Femenino,Sur,29,4,4,4,5,10
518,64,Masculino,Este,17,3,4,2,3,5
519,66,Masculino,Oeste,39,4,4,3,4,9
520,24,Masculino,Centro,5,3,4,4,4,8
521,25,Masculino,Este,5,5,3,2,4,7
522,27,Femenino,Norte,22,3,2,4,4,8
523,42,Masculino,Centro,32,3,4,3,4,7
524,70,Masculino,Oeste,33,3,4,3,4,9
525,38,Femenino,Centro,33,5,4,4,5,10
526,50,Masculino,Este,14,5,5,3,5,10
527,49,Femenino,Norte,28,4,4,3,5,10
528,50,Masculino,Centro,37,4,5,2,4,7
529,55,Masculino,Norte,46,4,3,2,3,5
530,36,Masculino,Oeste,15,4,3,3,4,9
531,61,Masculino,Sur,14,5,4,4,4,9
532,18,Femenino,Este,35,3,5,3,4,7
533,34,Masculino,Este,10,3,4,2,4,8
534,20,Masculino,Norte,8,5,3,4,5,9
535,41,Masculino,Norte,16,5,4,2,4,8
536,50,Masculino,Oeste,5,4,3,3,4,8
537,70,Femenino,Centro,33,4,4,4,4,7
538,43,Masculino,Sur,28,4,3,4,4,9
539,41,Femenino,Centro,12,4,4,3,4,9
540,50,Masculino,Oeste,42,5,3,4,5,9
541,20,Femenino,Centro,29,5,5,4,5,10
542,69,Masculino,Oeste,37,4,4,3,4,8
543,27,Femenino,Sur,15,5,4,2,5,10
544,28,Masculino,Oeste,5,5,5,2,5,10
545,55,Masculino,Oeste,48,3,3,4,4,9
546,52,Masculino,Oeste,25,5,5,2,4,8
547,48,Femenino,Sur,39,5,4,2,5,10
548,61,Femenino,Este,18,4,4,5,5,10
549,68,Femenino,Oeste,29,4,4,4,3,6
550,34,Femenino,Norte,21,4,3,3,4,9
551,48,Femenino,Oeste,46,5,4,3,4,9
552,64,Masculino,Centro,19,4,3,2,4,9
553,33,Femenino,Oeste,32,3,5,2,4,9
554,25,Femenino,Norte,34,4,4,2,4,8
555,38,Masculino,Centro,22,3,4,1,3,6
556,62,Femenino,Este,21,4,4,3,4,9
557,67,Masculino,Norte,35,3,3,2,3,7
