"","year","month","day","dep_delay","arr_delay","carrier","origin","dest","air_time","distance","hour"
"32",2014,1,1,36,59,"AA","LGA","ORD",138,733,18
"33",2014,1,1,0,-27,"AA","JFK","STT",197,1623,7
"34",2014,1,1,11,44,"AA","LGA","ORD",136,733,19
"35",2014,1,1,-5,-17,"AA","JFK","SJU",198,1598,18
"36",2014,1,1,-10,-19,"AA","LGA","MIA",164,1096,11
"37",2014,1,1,-6,-4,"AA","LGA","MIA",168,1096,13
"38",2014,1,1,7,-8,"AA","JFK","MIA",166,1089,9
"39",2014,1,1,51,29,"AA","LGA","DFW",210,1389,17
"40",2014,1,1,-2,-3,"AA","LGA","MIA",165,1096,5
"41",2014,1,1,17,7,"AA","LGA","DFW",224,1389,17
"42",2014,1,1,-3,-10,"AA","EWR","MIA",154,1085,6
"43",2014,1,1,4,-17,"AA","EWR","DFW",215,1372,9
"44",2014,1,1,0,-8,"AA","LGA","DFW",230,1389,7
"45",2014,1,1,-5,-14,"AA","LGA","DFW",209,1389,8
"46",2014,1,1,-4,-21,"AA","LGA","DFW",214,1389,10
"47",2014,1,1,6,4,"AA","LGA","DFW",217,1389,19
"48",2014,1,1,-6,-11,"AA","LGA","DFW",216,1389,11
"49",2014,1,1,-11,-5,"AA","LGA","DFW",234,1389,11
"50",2014,1,1,-1,-14,"AA","LGA","DFW",205,1389,12
"51",2014,1,1,3,3,"AA","LGA","DFW",217,1389,13
"52",2014,1,1,14,23,"AA","LGA","DFW",232,1389,15
"53",2014,1,1,0,-27,"AA","LGA","DFW",215,1389,15
"54",2014,1,1,-6,-9,"AA","LGA","PBI",162,1035,15
"55",2014,1,1,3,-16,"AA","JFK","SJU",194,1598,8
"56",2014,1,1,-3,27,"AA","EWR","DFW",211,1372,7
"57",2014,1,1,3,11,"AA","LGA","MIA",162,1096,15
"58",2014,1,1,-7,-22,"AA","LGA","MIA",159,1096,12
"59",2014,1,1,4,14,"AA","JFK","LAS",322,2248,6
"60",2014,1,1,-5,-8,"AA","EWR","MIA",157,1085,11
"61",2014,1,1,-5,-5,"AA","LGA","MIA",160,1096,10
"62",2014,1,1,-3,-6,"AA","LGA","MIA",164,1096,18
"63",2014,1,1,-9,-16,"AA","EWR","DFW",218,1372,19
"64",2014,1,1,2,-1,"AA","JFK","MIA",164,1089,12
"65",2014,1,1,6,3,"AA","JFK","MIA",157,1089,5
"66",2014,1,1,-7,12,"AA","LGA","MIA",168,1096,7
"67",2014,1,1,-5,-20,"AA","LGA","MIA",160,1096,7
"68",2014,1,1,-6,-10,"AA","JFK","MCO",149,944,14
"69",2014,1,1,6,-12,"AA","JFK","MIA",154,1089,17
"70",2014,1,1,-5,-15,"AA","LGA","MIA",173,1096,14
"71",2014,1,1,-2,-15,"AA","JFK","BOS",32,187,19
"72",2014,1,1,-3,-9,"AA","LGA","MIA",172,1096,19
"73",2014,1,1,24,16,"AA","JFK","EGE",266,1746,17
"74",2014,1,1,-3,-13,"AA","JFK","MCO",147,944,6
"75",2014,1,1,4,-12,"AS","EWR","SEA",347,2402,18
"76",2014,1,1,4,15,"AS","EWR","SEA",348,2402,7
"77",2014,1,1,51,60,"B6","JFK","CHS",109,636,8
"78",2014,1,1,41,51,"B6","JFK","PBI",165,1028,13
"79",2014,1,1,72,49,"B6","JFK","BOS",32,187,21
"80",2014,1,1,20,15,"B6","EWR","FLL",161,1065,21
"81",2014,1,1,47,48,"B6","JFK","RSW",170,1074,9
"82",2014,1,1,18,24,"B6","JFK","BTV",50,266,17
"83",2014,1,1,-4,-5,"B6","JFK","BUF",62,301,21
"84",2014,1,1,-2,-8,"B6","JFK","IAD",53,228,7
"85",2014,1,1,-1,7,"B6","JFK","PWM",42,273,22
"86",2014,1,1,127,129,"B6","JFK","SYR",53,209,14
"87",2014,1,1,30,17,"B6","JFK","RDU",74,427,8
"88",2014,1,1,126,111,"B6","JFK","RSW",170,1074,17
"89",2014,1,1,-4,21,"B6","JFK","JAX",148,828,14
"90",2014,1,1,5,33,"B6","JFK","JAX",149,828,21
"91",2014,1,1,-5,-11,"B6","EWR","BOS",45,200,11
"92",2014,1,1,-3,12,"B6","JFK","HOU",242,1428,8
"93",2014,1,1,6,-1,"B6","JFK","BOS",35,187,16
"94",2014,1,1,107,108,"B6","JFK","MCO",148,944,8
"95",2014,1,1,-3,-16,"B6","EWR","SJU",194,1608,7
"96",2014,1,1,-2,11,"B6","JFK","PBI",163,1028,9
"97",2014,1,1,45,37,"B6","JFK","DEN",237,1626,22
"98",2014,1,1,8,17,"B6","JFK","ROC",55,264,9
"99",2014,1,1,12,4,"B6","JFK","SJU",193,1598,13
"100",2014,1,1,-3,-10,"B6","JFK","SAN",342,2446,8
"101",2014,1,1,-9,-14,"B6","JFK","FLL",159,1069,19
"102",2014,1,1,-7,-2,"B6","JFK","PBI",159,1028,6
"103",2014,1,1,19,20,"B6","LGA","PBI",155,1035,14
"104",2014,1,1,4,18,"B6","LGA","FLL",165,1076,21
"105",2014,1,1,61,62,"B6","JFK","FLL",157,1069,10
"106",2014,1,1,88,90,"B6","LGA","PBI",157,1035,17
"107",2014,1,1,1,-10,"B6","LGA","FLL",160,1076,9
"108",2014,1,1,-3,-5,"B6","EWR","FLL",159,1065,17
"109",2014,1,1,41,31,"B6","JFK","PBI",153,1028,16
"110",2014,1,1,7,13,"B6","JFK","BQN",198,1576,0
"111",2014,1,1,-6,2,"B6","JFK","BUF",62,301,7
"112",2014,1,1,-4,21,"B6","EWR","PBI",169,1023,11
"113",2014,1,1,21,21,"B6","EWR","PBI",151,1023,18
"114",2014,1,1,-3,11,"B6","JFK","LGB",367,2465,18
"115",2014,1,1,99,97,"B6","JFK","MCO",149,944,20
"116",2014,1,1,60,52,"B6","JFK","LAS",320,2248,19
"117",2014,1,1,23,24,"B6","JFK","MCO",155,944,8
"118",2014,1,1,3,1,"B6","EWR","MCO",149,937,12
"119",2014,1,1,162,197,"B6","JFK","MCO",154,944,15
"120",2014,1,1,118,121,"B6","JFK","LAS",325,2248,11
"121",2014,1,1,38,68,"B6","JFK","MCO",154,944,20
"122",2014,1,1,-5,3,"B6","JFK","FLL",161,1069,6
"123",2014,1,1,24,34,"B6","JFK","FLL",165,1069,13
"124",2014,1,1,-2,3,"B6","EWR","MCO",145,937,8
"125",2014,1,1,16,8,"B6","JFK","PSE",200,1617,0
"126",2014,1,1,-7,11,"B6","JFK","TPA",168,1005,6
"127",2014,1,1,-5,19,"B6","JFK","FLL",178,1069,8
"128",2014,1,1,11,6,"B6","JFK","FLL",157,1069,16
"129",2014,1,1,37,37,"B6","JFK","SAN",342,2446,17
"130",2014,1,1,3,-4,"B6","JFK","PHX",310,2153,17
"131",2014,1,1,-6,-7,"B6","LGA","MCO",146,950,9
"132",2014,1,1,9,7,"B6","EWR","PBI",153,1023,21
"133",2014,1,1,29,41,"B6","JFK","TPA",164,1005,22
"134",2014,1,1,-3,-3,"B6","EWR","FLL",156,1065,5
"135",2014,1,1,18,7,"B6","JFK","SEA",346,2422,19
"136",2014,1,1,-2,-5,"B6","LGA","PBI",153,1035,7
"137",2014,1,1,-7,18,"B6","EWR","MCO",144,937,15
"138",2014,1,1,1,1,"B6","JFK","FLL",162,1069,10
"139",2014,1,1,0,9,"B6","JFK","PBI",158,1028,6
"140",2014,1,1,-3,42,"B6","JFK","SJU",205,1598,23
"141",2014,1,1,-8,1,"B6","LGA","TPA",165,1010,15
"142",2014,1,1,-11,-8,"B6","EWR","SJU",199,1608,23
"143",2014,1,1,10,54,"B6","JFK","ORD",157,740,7
"144",2014,1,1,-3,0,"B6","LGA","FLL",158,1076,5
"145",2014,1,1,9,-6,"B6","LGA","RSW",161,1080,13
"146",2014,1,1,-5,16,"B6","JFK","AUS",247,1521,20
"147",2014,1,1,2,-4,"B6","JFK","SJU",200,1598,6
"148",2014,1,1,24,25,"B6","JFK","MCO",149,944,15
"149",2014,1,1,0,8,"B6","JFK","RSW",174,1074,12
"150",2014,1,1,-2,1,"B6","LGA","FLL",161,1076,19
"151",2014,1,1,76,63,"B6","JFK","LAS",310,2248,22
"152",2014,1,1,13,-8,"B6","JFK","SMF",353,2521,19
"153",2014,1,1,0,2,"B6","JFK","MCO",143,944,6
"154",2014,1,1,-4,3,"B6","JFK","RSW",177,1074,6
"155",2014,1,1,-1,17,"B6","JFK","LGB",357,2465,13
"156",2014,1,1,-4,11,"B6","JFK","LAX",349,2475,9
"157",2014,1,1,79,88,"B6","JFK","SRQ",171,1041,9
"158",2014,1,1,3,-10,"B6","JFK","LAX",349,2475,16
"159",2014,1,1,82,80,"B6","LGA","SRQ",164,1047,14
"160",2014,1,1,42,55,"B6","LGA","MCO",148,950,21
"161",2014,1,1,-6,19,"B6","EWR","RSW",168,1068,7
"162",2014,1,1,42,50,"B6","EWR","TPA",161,997,16
"163",2014,1,1,3,1,"B6","JFK","LAX",347,2475,11
"164",2014,1,1,110,116,"B6","JFK","LAX",349,2475,0
"165",2014,1,1,21,21,"B6","JFK","AUS",237,1521,9
"166",2014,1,1,-1,-15,"B6","JFK","SJC",365,2569,18
"167",2014,1,1,23,29,"B6","EWR","FLL",160,1065,13
"168",2014,1,1,118,132,"B6","EWR","MCO",151,937,15
"169",2014,1,1,81,87,"B6","JFK","MCO",147,944,23
"170",2014,1,1,-3,-13,"B6","JFK","BQN",190,1576,5
"171",2014,1,1,-5,12,"B6","JFK","TPA",166,1005,14
"172",2014,1,1,62,70,"B6","JFK","FLL",162,1069,22
"173",2014,1,1,9,14,"B6","LGA","FLL",170,1076,10
"174",2014,1,1,29,33,"B6","JFK","FLL",157,1069,18
"175",2014,1,1,9,5,"B6","JFK","SJU",195,1598,9
"176",2014,1,1,47,38,"B6","JFK","SLC",292,1990,20
"177",2014,1,1,151,161,"B6","JFK","PBI",152,1028,23
"178",2014,1,1,7,3,"B6","JFK","LAX",341,2475,20
"179",2014,1,1,111,124,"B6","JFK","MCO",144,944,18
"180",2014,1,1,-3,14,"B6","LGA","TPA",170,1010,7
"181",2014,1,1,1,-5,"B6","LGA","FLL",161,1076,14
"182",2014,1,1,-3,-13,"B6","EWR","MCO",145,937,18
"183",2014,1,1,-6,-3,"B6","EWR","FLL",162,1065,9
"184",2014,1,1,22,24,"B6","JFK","FLL",162,1069,14
"185",2014,1,1,10,4,"B6","JFK","ABQ",280,1826,20
"186",2014,1,1,16,36,"B6","JFK","MCO",150,944,10
"187",2014,1,1,-5,17,"B6","LGA","MCO",151,950,17
"188",2014,1,1,-3,-13,"B6","JFK","OAK",364,2576,16
"189",2014,1,1,-4,-12,"B6","JFK","LAX",341,2475,6
"190",2014,1,1,-4,-1,"B6","JFK","SFO",370,2586,20
"191",2014,1,1,-7,6,"B6","JFK","TPA",161,1005,8
"192",2014,1,1,32,31,"B6","JFK","SJU",198,1598,23
"193",2014,1,1,8,13,"B6","JFK","PBI",155,1028,22
"194",2014,1,1,-7,2,"B6","JFK","SFO",370,2586,17
"195",2014,1,1,-3,1,"B6","JFK","TPA",169,1005,19
"196",2014,1,1,10,7,"B6","JFK","SFO",367,2586,9
"197",2014,1,1,-2,10,"B6","JFK","BUR",367,2465,17
"198",2014,1,1,61,53,"B6","JFK","SJU",195,1598,8
"199",2014,1,1,40,44,"B6","JFK","FLL",158,1069,17
"200",2014,1,1,62,56,"B6","JFK","FLL",160,1069,8
"201",2014,1,1,56,39,"B6","JFK","SJU",191,1598,15
"202",2014,1,1,81,74,"B6","JFK","SJU",194,1598,20
"203",2014,1,1,93,101,"B6","LGA","MCO",143,950,8
"204",2014,1,1,121,133,"B6","JFK","PDX",353,2454,22
"205",2014,1,1,17,30,"B6","EWR","MCO",147,937,22
"206",2014,1,1,-4,7,"B6","JFK","BUF",68,301,10
"207",2014,1,1,4,44,"B6","JFK","HOU",256,1428,14
"208",2014,1,1,87,101,"B6","JFK","MSY",198,1182,15
"209",2014,1,1,36,44,"B6","JFK","BUF",58,301,23
"210",2014,1,1,54,53,"B6","JFK","SYR",49,209,10
"211",2014,1,1,-5,11,"B6","JFK","CHS",112,636,13
"212",2014,1,1,106,117,"B6","JFK","IAD",47,228,19
"213",2014,1,1,21,19,"B6","JFK","ROC",53,264,23
"214",2014,1,1,-6,21,"B6","JFK","MSY",206,1182,6
"215",2014,1,1,-8,-15,"B6","JFK","ROC",54,264,14
"216",2014,1,1,5,6,"B6","JFK","BUF",66,301,18
"217",2014,1,1,11,13,"B6","JFK","SYR",46,209,23
"218",2014,1,1,-2,-9,"B6","JFK","BOS",36,187,13
"219",2014,1,1,231,221,"B6","JFK","BTV",48,266,16
"220",2014,1,1,182,178,"B6","JFK","RDU",74,427,20
"221",2014,1,1,40,32,"B6","JFK","BTV",49,266,9
"222",2014,1,1,28,24,"B6","JFK","BUF",64,301,17
"223",2014,1,1,-2,3,"B6","JFK","RDU",78,427,21
"224",2014,1,1,-5,-17,"B6","JFK","PWM",48,273,9
"225",2014,1,1,4,2,"B6","JFK","BOS",38,187,12
"226",2014,1,1,63,70,"B6","JFK","JAX",140,828,8
"227",2014,1,1,273,268,"B6","JFK","BUF",63,301,18
"228",2014,1,1,68,76,"B6","JFK","MSY",201,1182,22
"229",2014,1,1,22,28,"B6","EWR","PBI",154,1023,17
"230",2014,1,1,-7,-22,"B6","EWR","BOS",40,200,8
"231",2014,1,1,-2,4,"B6","JFK","CLT",98,541,8
"232",2014,1,1,-1,-3,"B6","JFK","PWM",52,273,13
"233",2014,1,1,-5,-14,"B6","JFK","CLT",92,541,17
"234",2014,1,1,-2,-1,"B6","JFK","BTV",49,266,22
"235",2014,1,1,1,-3,"B6","JFK","BOS",38,187,6
"236",2014,1,1,21,2,"B6","EWR","BOS",34,200,6
"237",2014,1,1,-5,47,"B6","JFK","ORD",152,740,20
"238",2014,1,1,11,11,"AA","JFK","LAS",332,2248,17
"239",2014,1,1,-1,-22,"AA","JFK","SFO",356,2586,7
"240",2014,1,1,-4,-16,"AA","JFK","DFW",218,1391,15
"241",2014,1,1,5,8,"AA","JFK","SAN",355,2446,17
"242",2014,1,1,-3,-13,"AA","JFK","SFO",366,2586,15
"243",2014,1,1,-3,-23,"AA","JFK","SJU",196,1598,16
"244",2014,1,1,10,10,"DL","LGA","ATL",126,762,18
"245",2014,1,1,-4,-11,"DL","LGA","DTW",99,502,9
"246",2014,1,1,-3,-7,"DL","LGA","ATL",129,762,16
"247",2014,1,1,-1,15,"DL","EWR","SLC",301,1969,10
"248",2014,1,1,3,-6,"DL","JFK","LAS",316,2248,15
"249",2014,1,1,-6,-7,"DL","JFK","MCO",149,944,10
"250",2014,1,1,34,14,"DL","JFK","ATL",116,760,18
"251",2014,1,1,8,12,"DL","JFK","PDX",347,2454,19
"252",2014,1,1,-4,-19,"DL","JFK","SFO",363,2586,15
"253",2014,1,1,0,-8,"DL","JFK","FLL",157,1069,13
"254",2014,1,1,1,-5,"DL","JFK","LAX",357,2475,15
"255",2014,1,1,-3,2,"DL","JFK","LAS",321,2248,10
"256",2014,1,1,-4,-21,"DL","JFK","AUS",226,1521,16
"257",2014,1,1,19,11,"DL","JFK","LAX",355,2475,9
"258",2014,1,1,5,-22,"DL","JFK","LAX",346,2475,18
"259",2014,1,1,8,-1,"DL","JFK","LAX",338,2475,20
"260",2014,1,1,16,-7,"DL","JFK","MIA",156,1089,16
"261",2014,1,1,0,1,"DL","JFK","SLC",295,1990,12
"262",2014,1,1,0,-19,"DL","JFK","SFO",359,2586,7
"263",2014,1,1,-3,-16,"DL","JFK","SFO",354,2586,12
"264",2014,1,1,0,-7,"DL","JFK","ATL",118,760,8
"265",2014,1,1,-5,-14,"DL","JFK","SFO",365,2586,18
"266",2014,1,1,86,79,"DL","JFK","SEA",347,2422,9
"267",2014,1,1,-2,-4,"DL","JFK","SEA",347,2422,18
"268",2014,1,1,30,19,"DL","JFK","SJU",194,1598,19
"269",2014,1,1,-7,-46,"DL","JFK","STT",202,1623,8
"270",2014,1,1,49,36,"DL","JFK","LAX",331,2475,7
"271",2014,1,1,7,-20,"DL","JFK","LAX",337,2475,17
"272",2014,1,1,9,54,"DL","JFK","ATL",144,760,6
"273",2014,1,1,-11,-12,"DL","JFK","ATL",122,760,11
"274",2014,1,1,-3,10,"DL","JFK","SLC",311,1990,6
"275",2014,1,1,-4,-27,"DL","LGA","SRQ",166,1047,10
"276",2014,1,1,-5,-14,"DL","LGA","PBI",157,1035,12
"277",2014,1,1,-7,-17,"DL","LGA","PBI",153,1035,13
"278",2014,1,1,-7,-14,"DL","EWR","ATL",118,746,14
"279",2014,1,1,-11,5,"DL","LGA","DEN",262,1620,7
"280",2014,1,1,-5,-7,"DL","LGA","DTW",93,502,5
"281",2014,1,1,9,-5,"DL","LGA","MSY",192,1183,17
"282",2014,1,1,-5,-17,"DL","LGA","ATL",121,762,12
"283",2014,1,1,-3,-14,"DL","EWR","ATL",120,746,6
"284",2014,1,1,-1,-6,"DL","LGA","ATL",130,762,15
"285",2014,1,1,3,-16,"DL","LGA","ATL",116,762,6
"286",2014,1,1,-6,-17,"DL","LGA","TPA",157,1010,9
"287",2014,1,1,17,21,"DL","LGA","DTW",98,502,13
"288",2014,1,1,70,52,"DL","LGA","PBI",159,1035,9
"289",2014,1,1,-6,-5,"DL","LGA","PBI",156,1035,14
"290",2014,1,1,-5,-4,"DL","LGA","TPA",162,1010,14
"291",2014,1,1,-1,-1,"DL","EWR","ATL",118,746,15
"292",2014,1,1,-3,-8,"DL","LGA","FLL",165,1076,9
"293",2014,1,1,-5,-17,"DL","LGA","ATL",128,762,11
"294",2014,1,1,-2,-23,"DL","LGA","MIA",160,1096,15
"295",2014,1,1,-1,0,"DL","LGA","MSP",164,1020,18
"296",2014,1,1,13,15,"DL","EWR","ATL",119,746,16
"297",2014,1,1,2,-3,"DL","JFK","SJU",189,1598,15
"298",2014,1,1,-4,-14,"DL","LGA","ATL",122,762,7
"299",2014,1,1,8,2,"DL","JFK","FLL",157,1069,20
"300",2014,1,1,-3,-18,"DL","LGA","MIA",160,1096,11
"301",2014,1,1,-5,-3,"DL","LGA","MSP",167,1020,8
"302",2014,1,1,-6,-13,"DL","JFK","MCO",145,944,19
"303",2014,1,1,-2,-13,"DL","LGA","FLL",169,1076,16
"304",2014,1,1,49,36,"DL","LGA","MCO",143,950,15
"305",2014,1,1,-4,-8,"DL","JFK","DTW",97,509,16
"306",2014,1,1,-5,5,"DL","LGA","MSP",165,1020,11
"307",2014,1,1,-1,-8,"DL","LGA","DTW",98,502,16
"308",2014,1,1,4,-7,"DL","LGA","ATL",125,762,14
"309",2014,1,1,-6,-12,"DL","LGA","MCO",144,950,7
"310",2014,1,1,-7,-20,"DL","JFK","SJU",188,1598,6
"311",2014,1,1,-5,-19,"DL","JFK","FLL",166,1069,15
"312",2014,1,1,19,6,"DL","JFK","SAN",341,2446,18
"313",2014,1,1,-1,-11,"DL","JFK","SJU",194,1598,23
"314",2014,1,1,19,24,"DL","LGA","RSW",177,1080,17
"315",2014,1,1,-8,-13,"DL","JFK","TPA",159,1005,18
"316",2014,1,1,6,-13,"DL","JFK","DEN",235,1626,20
"317",2014,1,1,-4,-14,"DL","LGA","MSY",192,1183,9
"318",2014,1,1,13,-7,"DL","JFK","MCO",137,944,16
"319",2014,1,1,4,-21,"DL","JFK","PHX",302,2153,19
"320",2014,1,1,-1,-14,"DL","JFK","ATL",118,760,15
"321",2014,1,1,-6,4,"DL","EWR","DTW",101,488,10
"322",2014,1,1,-5,-20,"DL","JFK","MIA",162,1089,18
"323",2014,1,1,6,1,"DL","LGA","MIA",167,1096,14
"324",2014,1,1,-4,-4,"DL","LGA","ATL",125,762,18
"325",2014,1,1,11,13,"DL","JFK","SLC",299,1990,19
"326",2014,1,1,52,26,"DL","JFK","LAS",312,2248,20
"327",2014,1,1,-6,-19,"DL","JFK","SJU",192,1598,8
"328",2014,1,1,-3,-6,"DL","JFK","SLC",293,1990,17
"329",2014,1,1,-5,-16,"DL","JFK","BOS",32,187,20
"330",2014,1,1,-5,-12,"DL","LGA","TPA",163,1010,16
"331",2014,1,1,-5,-20,"DL","LGA","ATL",124,762,6
"332",2014,1,1,297,290,"DL","EWR","ATL",114,746,16
"333",2014,1,1,-1,-5,"DL","LGA","MCO",152,950,17
"334",2014,1,1,-5,-15,"DL","LGA","ATL",127,762,14
"335",2014,1,1,-3,-11,"DL","EWR","ATL",111,746,10
"336",2014,1,1,-5,-6,"DL","LGA","RSW",171,1080,12
"337",2014,1,1,-2,-17,"DL","LGA","ATL",123,762,10
"338",2014,1,1,-1,-12,"DL","LGA","FLL",161,1076,11
"339",2014,1,1,-1,-15,"DL","LGA","MCO",147,950,11
"340",2014,1,1,-1,2,"DL","LGA","MSY",195,1183,18
"341",2014,1,1,-3,-11,"DL","LGA","FLL",162,1076,13
"342",2014,1,1,-9,-20,"DL","LGA","MCO",152,950,15
"343",2014,1,1,-7,3,"DL","EWR","DTW",102,488,9
"344",2014,1,1,29,21,"DL","LGA","MSP",155,1020,15
"345",2014,1,1,-1,-20,"DL","LGA","ATL",121,762,9
"346",2014,1,1,18,18,"DL","LGA","FLL",161,1076,18
"347",2014,1,1,-6,-11,"DL","LGA","RSW",177,1080,17
"348",2014,1,1,-3,-8,"DL","LGA","MCO",149,950,9
"349",2014,1,1,13,16,"DL","LGA","DEN",242,1620,18
"350",2014,1,1,-3,-14,"AA","JFK","MIA",161,1089,7
"351",2014,1,1,25,35,"EV","EWR","DAY",102,533,17
"352",2014,1,1,27,49,"EV","EWR","ATL",136,746,17
"353",2014,1,1,111,105,"EV","EWR","MHT",36,209,15
"354",2014,1,1,-3,-12,"EV","EWR","DCA",42,199,8
"355",2014,1,1,0,-9,"EV","EWR","SDF",112,642,15
"356",2014,1,1,78,66,"EV","LGA","CLE",85,419,14
"357",2014,1,1,-2,0,"EV","EWR","STL",157,872,6
"358",2014,1,1,-4,-5,"EV","EWR","MEM",167,946,14
"359",2014,1,1,-5,2,"EV","EWR","BNA",133,748,13
"360",2014,1,1,1,13,"EV","EWR","GSP",108,594,21
"361",2014,1,1,-3,-5,"EV","EWR","CHS",108,628,8
"362",2014,1,1,10,9,"EV","EWR","DTW",103,488,12
"363",2014,1,1,-8,25,"EV","EWR","MSN",156,799,14
"364",2014,1,1,121,138,"EV","EWR","OMA",194,1134,22
"365",2014,1,1,48,64,"EV","EWR","IND",120,645,17
"366",2014,1,1,34,30,"EV","EWR","RIC",54,277,21
"367",2014,1,1,67,53,"EV","EWR","PVD",30,160,23
"368",2014,1,1,4,-1,"EV","EWR","CHS",103,628,14
"369",2014,1,1,8,10,"EV","EWR","ATL",137,746,21
"370",2014,1,1,82,95,"EV","EWR","OMA",194,1134,11
"371",2014,1,1,7,11,"EV","EWR","ATL",137,746,19
"372",2014,1,1,148,146,"EV","EWR","AVL",101,583,16
"373",2014,1,1,46,75,"EV","EWR","MCI",200,1092,15
"374",2014,1,1,46,45,"EV","EWR","PWM",48,284,18
"375",2014,1,1,-4,11,"EV","EWR","DTW",102,488,20
"376",2014,1,1,24,9,"EV","EWR","IND",105,645,14
"377",2014,1,1,4,30,"EV","EWR","OKC",237,1325,20
"378",2014,1,1,-1,14,"EV","EWR","BNA",138,748,15
"379",2014,1,1,97,120,"EV","EWR","MCI",192,1092,19
"380",2014,1,1,-2,-16,"EV","EWR","SYR",43,195,16
"381",2014,1,1,46,71,"EV","EWR","MKE",141,725,20
"382",2014,1,1,27,23,"EV","EWR","DCA",42,199,15
"383",2014,1,1,0,7,"EV","EWR","JAX",143,820,15
"384",2014,1,1,62,71,"EV","EWR","MSP",173,1008,9
"385",2014,1,1,39,51,"EV","EWR","DTW",116,488,16
"386",2014,1,1,0,26,"EV","EWR","TUL",218,1215,20
"387",2014,1,1,210,218,"EV","EWR","MEM",176,946,21
"388",2014,1,1,-6,-8,"EV","EWR","PIT",59,319,16
"389",2014,1,1,-8,-4,"EV","EWR","JAX",140,820,6
"390",2014,1,1,-7,-9,"EV","EWR","SAV",122,708,11
"391",2014,1,1,75,70,"EV","EWR","RIC",59,277,18
"392",2014,1,1,37,59,"EV","EWR","MKE",144,725,16
"393",2014,1,1,49,39,"EV","EWR","PWM",44,284,17
"394",2014,1,1,35,27,"EV","EWR","BWI",38,169,22
"395",2014,1,1,100,105,"EV","EWR","GSO",81,445,16
"396",2014,1,1,4,8,"EV","EWR","GSP",103,594,15
"397",2014,1,1,61,99,"EV","EWR","GRR",139,605,16
"398",2014,1,1,-2,11,"EV","EWR","STL",160,872,21
"399",2014,1,1,-1,6,"EV","EWR","JAX",143,820,11
"400",2014,1,1,42,45,"EV","EWR","STL",152,872,15
"401",2014,1,1,-8,-38,"EV","LGA","MEM",154,963,13
"402",2014,1,1,-3,-21,"EV","EWR","MEM",148,946,8
"403",2014,1,1,113,121,"EV","EWR","DSM",179,1017,21
"404",2014,1,1,34,29,"EV","EWR","CVG",107,569,15
"405",2014,1,1,17,24,"EV","EWR","DAY",98,533,8
"406",2014,1,1,-5,-8,"EV","EWR","PVD",33,160,10
"407",2014,1,1,51,48,"EV","EWR","CLT",98,529,22
"408",2014,1,1,0,-16,"EV","EWR","ORF",51,284,12
"409",2014,1,1,-2,0,"EV","EWR","ATL",132,746,14
"410",2014,1,1,0,-8,"EV","EWR","CLT",96,529,9
"411",2014,1,1,-5,11,"EV","EWR","STL",170,872,10
"412",2014,1,1,-8,-9,"EV","EWR","DAY",98,533,13
"413",2014,1,1,66,68,"EV","EWR","JAX",144,820,21
"414",2014,1,1,10,12,"EV","EWR","DTW",97,488,12
"415",2014,1,1,-3,-20,"EV","LGA","BHM",140,866,16
"416",2014,1,1,-9,-32,"EV","LGA","BUF",57,292,10
